"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.11.2022","2.878,28","2.864,01","2.887,93","2.864,01","","0,50%"
"17.11.2022","2.864,01","2.914,40","2.916,02","2.859,61","","-1,73%"
"16.11.2022","2.914,40","2.931,19","2.940,86","2.911,65","","-0,57%"
"14.11.2022","2.931,19","2.934,71","2.939,42","2.926,89","","-0,12%"
"11.11.2022","2.934,71","2.941,54","2.944,42","2.929,46","","-0,23%"
"10.11.2022","2.941,54","2.969,14","2.972,45","2.938,57","","-0,93%"
"09.11.2022","2.969,14","2.983,39","2.985,50","2.967,21","","-0,48%"
"08.11.2022","2.983,37","2.987,19","2.990,48","2.982,62","","-0,13%"
"07.11.2022","2.987,19","2.993,06","2.994,85","2.985,48","","-0,20%"
"04.11.2022","2.993,06","2.988,75","2.993,69","2.988,15","","0,14%"
"03.11.2022","2.988,75","2.989,23","2.993,91","2.985,62","","-0,01%"
"01.11.2022","2.989,15","2.991,45","2.997,58","2.984,52","","-0,08%"
"31.10.2022","2.991,45","2.993,69","2.993,69","2.973,75","","-0,07%"
"28.10.2022","2.993,69","2.992,35","2.995,66","2.990,74","","0,04%"
"27.10.2022","2.992,35","2.991,01","2.995,34","2.989,09","","0,05%"
"26.10.2022","2.991,00","2.993,38","2.997,06","2.989,60","","-0,08%"
"25.10.2022","2.993,37","2.993,22","2.998,98","2.992,70","","0,01%"
"24.10.2022","2.993,16","2.999,05","3.001,57","2.993,13","","-0,20%"
"21.10.2022","2.999,05","2.992,39","3.000,14","2.992,39","","0,22%"
"20.10.2022","2.992,35","2.986,43","2.993,63","2.986,43","","0,20%"
"19.10.2022","2.986,43","2.987,10","2.992,39","2.984,09","","-0,02%"
"18.10.2022","2.987,10","2.982,34","2.988,79","2.982,28","","0,16%"
"17.10.2022","2.982,34","2.991,65","2.996,19","2.981,46","","-0,31%"
"14.10.2022","2.991,66","2.992,75","2.998,08","2.988,36","","-0,03%"
"13.10.2022","2.992,58","2.999,96","3.002,45","2.990,57","","-0,25%"
"11.10.2022","2.999,96","2.998,47","3.002,46","2.997,54","","0,05%"
"10.10.2022","2.998,46","3.002,87","3.006,34","2.996,17","","-0,15%"
"07.10.2022","3.002,83","2.995,59","3.003,64","2.995,59","","0,24%"
"06.10.2022","2.995,60","2.986,50","2.997,18","2.986,50","","0,30%"
"05.10.2022","2.986,50","2.985,08","2.990,84","2.985,08","","0,05%"
"04.10.2022","2.985,08","2.982,90","2.986,39","2.980,10","","0,07%"
"03.10.2022","2.982,90","2.990,80","2.993,73","2.980,38","","-0,26%"
"30.09.2022","2.990,80","2.972,49","2.990,80","2.972,49","","0,62%"
"29.09.2022","2.972,49","2.975,15","2.978,49","2.971,93","","-0,09%"
"28.09.2022","2.975,15","2.979,49","2.982,95","2.974,21","","-0,15%"
"27.09.2022","2.979,49","2.984,31","2.988,93","2.978,14","","-0,16%"
"26.09.2022","2.984,31","2.990,30","2.991,87","2.983,86","","-0,20%"
"23.09.2022","2.990,30","2.994,65","2.997,47","2.988,53","","-0,15%"
"22.09.2022","2.994,65","2.989,28","2.995,57","2.989,28","","0,18%"
"21.09.2022","2.989,12","2.987,91","2.991,95","2.986,67","","0,04%"
"20.09.2022","2.987,89","2.983,80","2.990,51","2.983,80","","0,14%"
"19.09.2022","2.983,78","2.984,47","2.985,86","2.979,48","","-0,02%"
"16.09.2022","2.984,44","2.971,49","2.989,22","2.971,15","","0,44%"
"15.09.2022","2.971,49","2.968,91","2.978,08","2.968,91","","0,09%"
"14.09.2022","2.968,92","2.973,51","2.976,54","2.967,58","","-0,15%"
"13.09.2022","2.973,51","2.973,68","2.977,27","2.970,85","","-0,01%"
"12.09.2022","2.973,68","2.980,07","2.983,26","2.973,03","","-0,21%"
"09.09.2022","2.980,06","2.974,42","2.980,24","2.974,42","","0,19%"
"08.09.2022","2.974,43","2.977,08","2.985,24","2.973,22","","-0,09%"
"06.09.2022","2.977,07","2.980,92","2.986,23","2.976,66","","-0,13%"
"05.09.2022","2.980,81","2.975,55","2.987,26","2.975,55","","0,18%"
"02.09.2022","2.975,51","2.968,96","2.978,41","2.968,96","","0,22%"
"01.09.2022","2.968,97","2.976,23","2.981,29","2.965,06","","-0,24%"
"31.08.2022","2.976,23","2.957,22","2.976,31","2.957,22","","0,64%"
"30.08.2022","2.957,24","2.952,45","2.960,49","2.952,45","","0,16%"
"29.08.2022","2.952,45","2.940,71","2.953,99","2.940,71","","0,40%"
"26.08.2022","2.940,71","2.933,29","2.940,71","2.933,29","","0,25%"
"25.08.2022","2.933,26","2.929,14","2.934,54","2.929,14","","0,14%"
"24.08.2022","2.929,11","2.931,46","2.934,65","2.927,37","","-0,08%"
"23.08.2022","2.931,46","2.929,91","2.933,46","2.929,41","","0,06%"
"22.08.2022","2.929,78","2.923,16","2.930,32","2.923,16","","0,23%"
"19.08.2022","2.923,16","2.920,94","2.927,92","2.920,94","","0,08%"
"18.08.2022","2.920,92","2.916,99","2.924,45","2.916,99","","0,13%"
"17.08.2022","2.916,99","2.908,29","2.918,57","2.908,29","","0,30%"
"16.08.2022","2.908,29","2.902,06","2.910,75","2.902,01","","0,21%"
"15.08.2022","2.902,06","2.871,03","2.902,37","2.870,98","","1,08%"
"12.08.2022","2.870,95","2.851,64","2.872,70","2.851,64","","0,68%"
"11.08.2022","2.851,58","2.832,94","2.853,21","2.832,94","","0,66%"
"10.08.2022","2.832,94","2.825,74","2.833,95","2.825,74","","0,25%"
"09.08.2022","2.825,74","2.821,16","2.826,64","2.819,81","","0,16%"
"08.08.2022","2.821,16","2.817,42","2.822,29","2.817,42","","0,13%"
"05.08.2022","2.817,42","2.811,19","2.818,02","2.811,09","","0,22%"
"04.08.2022","2.811,20","2.806,26","2.812,43","2.806,26","","0,18%"
"03.08.2022","2.806,25","2.808,64","2.813,54","2.806,25","","-0,09%"
"02.08.2022","2.808,65","2.803,32","2.809,91","2.803,32","","0,19%"
"01.08.2022","2.803,32","2.814,10","2.816,67","2.800,85","","-0,38%"
"29.07.2022","2.814,10","2.801,71","2.814,12","2.801,71","","0,44%"
"28.07.2022","2.801,68","2.794,64","2.801,68","2.794,64","","0,25%"
"27.07.2022","2.794,62","2.794,00","2.798,59","2.792,76","","0,02%"
"26.07.2022","2.794,00","2.793,03","2.798,34","2.792,89","","0,04%"
"25.07.2022","2.792,96","2.793,33","2.798,82","2.790,48","","-0,01%"
"22.07.2022","2.793,34","2.791,03","2.796,05","2.791,03","","0,08%"
"21.07.2022","2.791,03","2.789,52","2.793,13","2.788,20","","0,05%"
"20.07.2022","2.789,52","2.784,13","2.791,48","2.784,11","","0,19%"
"19.07.2022","2.784,13","2.779,82","2.786,25","2.779,82","","0,16%"
"18.07.2022","2.779,77","2.778,13","2.786,99","2.778,13","","0,06%"
"15.07.2022","2.778,14","2.775,88","2.780,12","2.774,91","","0,08%"
"14.07.2022","2.775,88","2.773,15","2.779,45","2.773,15","","0,10%"
"13.07.2022","2.773,14","2.780,30","2.782,34","2.770,22","","-0,26%"
"12.07.2022","2.780,30","2.786,80","2.789,48","2.777,80","","-0,23%"
"11.07.2022","2.786,81","2.792,01","2.794,90","2.784,65","","-0,19%"
"08.07.2022","2.792,01","2.792,59","2.793,65","2.789,10","","-0,02%"
"07.07.2022","2.792,59","2.788,63","2.792,79","2.787,07","","0,14%"
"06.07.2022","2.788,63","2.783,80","2.788,65","2.782,11","","0,17%"
"05.07.2022","2.783,80","2.793,40","2.796,40","2.780,38","","-0,34%"
"04.07.2022","2.793,40","2.792,16","2.797,89","2.791,39","","0,05%"
"01.07.2022","2.792,12","2.795,62","2.799,28","2.787,61","","-0,13%"
"30.06.2022","2.795,62","2.792,39","2.797,81","2.791,32","","0,12%"
"29.06.2022","2.792,39","2.793,72","2.798,77","2.790,29","","-0,05%"
"28.06.2022","2.793,71","2.800,55","2.806,32","2.792,53","","-0,24%"
"27.06.2022","2.800,55","2.802,37","2.807,96","2.799,81","","-0,06%"
"24.06.2022","2.802,37","2.802,66","2.807,68","2.799,45","","-0,01%"
"23.06.2022","2.802,66","2.808,43","2.811,70","2.801,10","","-0,21%"
"22.06.2022","2.808,42","2.813,10","2.814,04","2.805,71","","-0,17%"
"21.06.2022","2.813,08","2.811,25","2.816,18","2.810,89","","0,07%"
"20.06.2022","2.811,25","2.802,01","2.812,15","2.802,01","","0,33%"
"17.06.2022","2.802,02","2.804,38","2.810,79","2.801,47","","-0,08%"
"15.06.2022","2.804,38","2.801,27","2.812,25","2.799,91","","0,11%"
"14.06.2022","2.801,27","2.802,54","2.811,70","2.801,22","","-0,05%"
"13.06.2022","2.802,54","2.813,62","2.814,70","2.800,79","","-0,39%"
"10.06.2022","2.813,64","2.817,79","2.822,24","2.811,00","","-0,15%"
"09.06.2022","2.817,79","2.822,80","2.825,02","2.817,79","","-0,18%"
"08.06.2022","2.822,80","2.824,87","2.829,55","2.820,77","","-0,07%"
"07.06.2022","2.824,87","2.829,29","2.832,28","2.823,53","","-0,16%"
"06.06.2022","2.829,29","2.830,26","2.833,95","2.828,06","","-0,03%"
"03.06.2022","2.830,26","2.826,26","2.831,44","2.826,26","","0,14%"
"02.06.2022","2.826,25","2.823,12","2.827,35","2.823,12","","0,11%"
"01.06.2022","2.823,08","2.820,44","2.826,73","2.820,44","","0,09%"
"31.05.2022","2.820,45","2.812,66","2.821,03","2.812,66","","0,28%"
"30.05.2022","2.812,62","2.806,52","2.816,07","2.806,52","","0,22%"
"27.05.2022","2.806,52","2.795,69","2.807,48","2.795,69","","0,39%"
"26.05.2022","2.795,69","2.793,18","2.797,48","2.792,85","","0,09%"
"25.05.2022","2.793,18","2.791,10","2.795,97","2.791,10","","0,07%"
"24.05.2022","2.791,10","2.789,37","2.793,80","2.788,16","","0,06%"
"23.05.2022","2.789,37","2.784,57","2.791,34","2.784,37","","0,17%"
"20.05.2022","2.784,57","2.779,16","2.785,65","2.779,16","","0,19%"
"19.05.2022","2.779,16","2.777,46","2.782,15","2.775,10","","0,06%"
"18.05.2022","2.777,46","2.776,62","2.784,32","2.775,25","","0,03%"
"17.05.2022","2.776,62","2.768,63","2.778,75","2.768,63","","0,29%"
"16.05.2022","2.768,63","2.771,89","2.777,81","2.768,58","","-0,12%"
"13.05.2022","2.771,87","2.755,79","2.773,09","2.755,79","","0,58%"
"12.05.2022","2.755,79","2.763,86","2.767,80","2.753,23","","-0,29%"
"11.05.2022","2.763,86","2.768,12","2.771,75","2.761,76","","-0,15%"
"10.05.2022","2.768,12","2.769,78","2.774,94","2.764,59","","-0,06%"
"09.05.2022","2.769,80","2.779,36","2.784,81","2.769,80","","-0,34%"
"06.05.2022","2.779,36","2.782,45","2.790,80","2.778,75","","-0,11%"
"05.05.2022","2.782,46","2.787,91","2.794,36","2.782,19","","-0,20%"
"04.05.2022","2.787,91","2.794,90","2.800,94","2.786,92","","-0,25%"
"03.05.2022","2.794,89","2.798,16","2.806,85","2.794,62","","-0,12%"
"02.05.2022","2.798,16","2.813,07","2.823,90","2.796,27","","-0,53%"
"29.04.2022","2.813,06","2.804,90","2.815,93","2.804,90","","0,29%"
"28.04.2022","2.804,83","2.801,22","2.806,57","2.801,22","","0,13%"
"27.04.2022","2.801,20","2.801,99","2.807,38","2.800,43","","-0,03%"
"26.04.2022","2.801,99","2.805,31","2.810,72","2.801,99","","-0,12%"
"25.04.2022","2.805,31","2.810,29","2.814,68","2.804,76","","-0,18%"
"22.04.2022","2.810,29","2.808,27","2.813,38","2.808,27","","0,07%"
"20.04.2022","2.808,21","2.805,38","2.811,10","2.805,38","","0,10%"
"19.04.2022","2.805,38","2.801,91","2.809,52","2.801,89","","0,12%"
"18.04.2022","2.801,91","2.808,60","2.811,10","2.798,53","","-0,24%"
"14.04.2022","2.808,60","2.803,60","2.809,53","2.803,60","","0,18%"
"13.04.2022","2.803,59","2.808,96","2.809,28","2.802,34","","-0,19%"
"12.04.2022","2.808,97","2.807,57","2.814,86","2.805,00","","0,05%"
"11.04.2022","2.807,58","2.808,82","2.809,76","2.805,45","","-0,04%"
"08.04.2022","2.808,83","2.796,51","2.808,83","2.796,51","","0,12%"
"07.04.2022","2.805,35","2.803,97","2.810,80","2.803,67","","0,05%"
"06.04.2022","2.803,89","2.805,62","2.811,76","2.801,89","","-0,06%"
"05.04.2022","2.805,60","2.807,19","2.814,01","2.805,14","","-0,06%"
"04.04.2022","2.807,19","2.798,71","2.809,25","2.798,71","","0,30%"
"01.04.2022","2.798,71","2.779,97","2.798,71","2.779,97","","0,67%"
"31.03.2022","2.779,97","2.772,17","2.781,59","2.772,17","","0,28%"
"30.03.2022","2.772,17","2.762,13","2.772,26","2.761,85","","0,37%"
"29.03.2022","2.762,05","2.748,25","2.762,05","2.748,25","","0,50%"
"28.03.2022","2.748,26","2.748,27","2.752,17","2.748,06","","0,00%"
"25.03.2022","2.748,27","2.732,68","2.748,27","2.732,68","","0,57%"
"24.03.2022","2.732,68","2.734,60","2.737,45","2.731,75","","-0,07%"
"23.03.2022","2.734,59","2.730,52","2.738,31","2.730,50","","0,15%"
"22.03.2022","2.730,52","2.720,15","2.731,12","2.720,15","","0,38%"
"21.03.2022","2.720,15","2.719,17","2.724,27","2.716,00","","0,04%"
"18.03.2022","2.719,17","2.708,51","2.721,26","2.708,51","","0,39%"
"17.03.2022","2.708,51","2.710,31","2.719,64","2.707,92","","-0,07%"
"16.03.2022","2.710,31","2.707,85","2.714,76","2.707,85","","0,09%"
"15.03.2022","2.707,76","2.704,57","2.714,89","2.704,42","","0,12%"
"14.03.2022","2.704,57","2.719,78","2.726,72","2.703,15","","-0,56%"
"11.03.2022","2.719,78","2.724,42","2.730,42","2.718,53","","-0,17%"
"10.03.2022","2.724,42","2.724,79","2.729,41","2.722,38","","-0,01%"
"09.03.2022","2.724,80","2.725,71","2.731,82","2.724,14","","-0,03%"
"08.03.2022","2.725,71","2.730,86","2.736,29","2.725,70","","-0,19%"
"07.03.2022","2.730,86","2.741,73","2.747,35","2.730,43","","-0,40%"
"04.03.2022","2.741,72","2.742,02","2.748,35","2.741,32","","-0,01%"
"03.03.2022","2.742,02","2.736,67","2.745,52","2.736,65","","0,20%"
"02.03.2022","2.736,58","2.741,15","2.745,62","2.734,27","","-0,17%"
"25.02.2022","2.741,15","2.709,78","2.742,93","2.709,78","","1,16%"
"24.02.2022","2.709,75","2.729,33","2.729,33","2.698,48","","-0,72%"
"23.02.2022","2.729,33","2.733,35","2.738,93","2.728,81","","-0,15%"
"22.02.2022","2.733,35","2.741,60","2.746,99","2.732,45","","-0,30%"
"21.02.2022","2.741,59","2.751,56","2.756,33","2.740,72","","-0,36%"
"18.02.2022","2.751,56","2.746,55","2.754,39","2.746,55","","0,18%"
"17.02.2022","2.746,55","2.747,53","2.755,05","2.745,50","","-0,04%"
"16.02.2022","2.747,53","2.750,96","2.756,82","2.746,57","","-0,13%"
"15.02.2022","2.750,97","2.753,17","2.761,01","2.748,96","","-0,08%"
"14.02.2022","2.753,16","2.762,70","2.767,85","2.752,58","","-0,35%"
"11.02.2022","2.762,70","2.761,03","2.765,61","2.761,03","","0,06%"
"10.02.2022","2.761,03","2.763,76","2.767,20","2.759,02","","-0,10%"
"09.02.2022","2.763,76","2.762,56","2.768,48","2.761,31","","0,04%"
"08.02.2022","2.762,57","2.765,64","2.771,05","2.762,13","","-0,11%"
"07.02.2022","2.765,64","2.771,91","2.774,74","2.764,55","","-0,23%"
"04.02.2022","2.771,91","2.767,58","2.773,65","2.767,40","","0,16%"
"03.02.2022","2.767,59","2.771,01","2.775,89","2.765,70","","-0,12%"
"02.02.2022","2.771,01","2.776,62","2.781,56","2.770,47","","-0,20%"
"01.02.2022","2.776,61","2.776,92","2.783,96","2.775,67","","-0,01%"
"31.01.2022","2.776,92","2.769,90","2.776,92","2.769,13","","0,25%"
"28.01.2022","2.769,90","2.767,02","2.773,88","2.766,40","","0,10%"
"27.01.2022","2.767,02","2.772,94","2.776,56","2.764,93","","-0,21%"
"26.01.2022","2.772,94","2.792,61","2.792,61","2.764,97","","-0,70%"
"25.01.2022","2.792,61","2.799,78","2.805,86","2.789,06","","-0,26%"
"24.01.2022","2.799,78","2.810,27","2.813,72","2.797,56","","-0,37%"
"21.01.2022","2.810,25","2.804,56","2.811,54","2.804,56","","0,20%"
"20.01.2022","2.804,56","2.807,06","2.814,21","2.801,63","","-0,09%"
"19.01.2022","2.807,06","2.802,04","2.810,32","2.802,04","","0,18%"
"18.01.2022","2.802,02","2.795,86","2.803,10","2.795,86","","0,22%"
"17.01.2022","2.795,85","2.783,02","2.796,43","2.783,02","","0,47%"
"14.01.2022","2.782,90","2.764,60","2.783,15","2.764,60","","0,66%"
"13.01.2022","2.764,60","2.764,28","2.768,74","2.761,02","","0,01%"
"12.01.2022","2.764,28","2.754,41","2.765,12","2.754,41","","0,36%"
"11.01.2022","2.754,41","2.752,30","2.760,84","2.751,75","","0,08%"
"10.01.2022","2.752,14","2.759,57","2.762,06","2.750,40","","-0,27%"
"07.01.2022","2.759,57","2.757,35","2.764,27","2.757,19","","0,08%"
"06.01.2022","2.757,29","2.760,14","2.770,26","2.751,35","","-0,10%"
"05.01.2022","2.760,14","2.787,26","2.790,92","2.760,14","","-0,97%"
"04.01.2022","2.787,26","2.789,21","2.803,17","2.785,40","","-0,07%"
"03.01.2022","2.789,14","2.804,78","2.819,02","2.781,81","","-0,56%"
"30.12.2021","2.804,79","2.789,31","2.806,60","2.789,31","","0,55%"
"29.12.2021","2.789,32","2.768,02","2.793,26","2.768,02","","0,77%"
"28.12.2021","2.768,02","2.743,59","2.768,02","2.743,59","","0,89%"
"27.12.2021","2.743,68","2.724,70","2.743,80","2.724,70","","0,70%"
"23.12.2021","2.724,60","2.706,73","2.724,69","2.706,73","","0,66%"
"22.12.2021","2.706,64","2.703,24","2.708,85","2.700,58","","0,13%"
"21.12.2021","2.703,24","2.695,07","2.703,41","2.695,07","","0,30%"
"20.12.2021","2.695,05","2.694,73","2.699,47","2.692,74","","0,01%"
"17.12.2021","2.694,73","2.681,35","2.694,73","2.681,35","","0,50%"
"16.12.2021","2.681,35","2.676,06","2.686,76","2.676,06","","0,19%"
"15.12.2021","2.676,14","2.668,73","2.682,52","2.668,73","","0,28%"
"14.12.2021","2.668,73","2.673,92","2.687,04","2.666,00","","-0,19%"
"13.12.2021","2.673,92","2.674,12","2.683,39","2.672,35","","0,00%"
"10.12.2021","2.673,94","2.669,05","2.676,67","2.669,05","","0,18%"
"09.12.2021","2.669,06","2.673,32","2.675,35","2.665,38","","-0,16%"
"08.12.2021","2.673,21","2.660,89","2.674,54","2.660,89","","0,46%"
"07.12.2021","2.660,89","2.643,09","2.666,47","2.643,09","","0,67%"
"06.12.2021","2.643,10","2.610,67","2.645,09","2.610,67","","1,24%"
"03.12.2021","2.610,67","2.582,87","2.612,41","2.582,87","","1,08%"
"02.12.2021","2.582,87","2.581,48","2.591,39","2.581,48","","0,06%"
"01.12.2021","2.581,29","2.578,40","2.593,25","2.578,39","","0,11%"
"30.11.2021","2.578,40","2.563,69","2.580,12","2.563,69","","0,57%"
"29.11.2021","2.563,76","2.541,52","2.566,15","2.541,52","","0,88%"
"26.11.2021","2.541,52","2.545,98","2.545,98","2.534,87","","-0,18%"
"25.11.2021","2.545,98","2.546,88","2.553,00","2.544,67","","-0,03%"
"24.11.2021","2.546,87","2.563,61","2.568,06","2.545,94","","-0,65%"
"23.11.2021","2.563,61","2.581,45","2.586,30","2.563,11","","-0,69%"
"22.11.2021","2.581,43","2.594,13","2.596,13","2.581,43","","-0,49%"
"19.11.2021","2.594,13","2.591,03","2.596,47","2.589,93","","0,12%"
"18.11.2021","2.591,02","2.603,62","2.610,03","2.588,69","","-0,48%"
"17.11.2021","2.603,62","2.612,67","2.618,64","2.601,62","","-0,35%"
"16.11.2021","2.612,67","2.617,81","2.625,48","2.610,75","","-0,19%"
"12.11.2021","2.617,76","2.621,98","2.629,44","2.615,03","","-0,16%"
"11.11.2021","2.621,88","2.627,21","2.631,27","2.618,74","","-0,20%"
"10.11.2021","2.627,20","2.627,21","2.632,21","2.626,33","","0,00%"
"09.11.2021","2.627,19","2.640,47","2.644,57","2.626,34","","-0,50%"
"08.11.2021","2.640,44","2.654,89","2.659,29","2.640,39","","-0,54%"
"05.11.2021","2.654,89","2.655,40","2.663,25","2.652,75","","-0,02%"
"04.11.2021","2.655,40","2.664,97","2.669,14","2.654,58","","-0,36%"
"03.11.2021","2.664,97","2.673,23","2.675,92","2.663,09","","-0,31%"
"01.11.2021","2.673,23","2.675,71","2.685,98","2.669,13","","-0,09%"
"29.10.2021","2.675,68","2.673,92","2.679,95","2.670,30","","0,07%"
"28.10.2021","2.673,93","2.680,78","2.682,06","2.670,19","","-0,26%"
"27.10.2021","2.680,78","2.693,64","2.696,92","2.677,69","","-0,48%"
"26.10.2021","2.693,64","2.707,98","2.710,97","2.691,05","","-0,53%"
"25.10.2021","2.708,00","2.712,38","2.719,42","2.706,92","","-0,16%"
"22.10.2021","2.712,38","2.724,94","2.727,27","2.702,88","","-0,46%"
"21.10.2021","2.724,94","2.738,39","2.738,59","2.724,84","","-0,49%"
"20.10.2021","2.738,39","2.740,06","2.746,50","2.738,07","","-0,06%"
"19.10.2021","2.740,06","2.747,56","2.747,84","2.739,40","","-0,27%"
"18.10.2021","2.747,55","2.743,92","2.747,58","2.743,40","","0,13%"
"15.10.2021","2.743,93","2.732,67","2.744,36","2.732,67","","0,41%"
"14.10.2021","2.732,67","2.727,86","2.733,75","2.727,86","","0,18%"
"13.10.2021","2.727,86","2.727,11","2.732,24","2.725,76","","0,03%"
"11.10.2021","2.727,06","2.716,44","2.728,00","2.716,44","","0,39%"
"08.10.2021","2.716,47","2.710,86","2.717,57","2.710,86","","0,21%"
"07.10.2021","2.710,86","2.711,04","2.717,30","2.708,63","","-0,01%"
"06.10.2021","2.711,00","2.708,06","2.711,28","2.704,24","","0,11%"
"05.10.2021","2.707,94","2.707,58","2.714,10","2.707,03","","0,02%"
"04.10.2021","2.707,39","2.714,62","2.719,46","2.707,19","","-0,27%"
"01.10.2021","2.714,62","2.715,71","2.720,15","2.710,93","","-0,04%"
"30.09.2021","2.715,67","2.700,36","2.716,19","2.700,36","","0,57%"
"29.09.2021","2.700,36","2.700,32","2.708,14","2.698,88","","0,00%"
"28.09.2021","2.700,32","2.711,83","2.716,19","2.698,98","","-0,42%"
"27.09.2021","2.711,76","2.709,39","2.719,97","2.709,39","","0,09%"
"24.09.2021","2.709,40","2.705,38","2.712,66","2.705,38","","0,15%"
"23.09.2021","2.705,38","2.702,55","2.712,59","2.702,55","","0,11%"
"22.09.2021","2.702,50","2.699,38","2.711,95","2.699,38","","0,12%"
"21.09.2021","2.699,37","2.700,58","2.714,25","2.697,55","","-0,05%"
"20.09.2021","2.700,59","2.729,78","2.729,78","2.700,54","","-1,07%"
"17.09.2021","2.729,83","2.727,68","2.733,08","2.727,37","","0,08%"
"16.09.2021","2.727,68","2.730,92","2.735,39","2.727,68","","-0,12%"
"15.09.2021","2.730,93","2.728,31","2.738,36","2.728,10","","0,10%"
"14.09.2021","2.728,31","2.727,50","2.735,56","2.726,20","","0,03%"
"13.09.2021","2.727,50","2.727,90","2.738,11","2.726,24","","-0,02%"
"10.09.2021","2.727,91","2.720,21","2.733,88","2.720,21","","0,29%"
"09.09.2021","2.720,14","2.715,09","2.724,19","2.714,63","","0,19%"
"08.09.2021","2.715,09","2.732,95","2.737,44","2.713,51","","-0,65%"
"06.09.2021","2.732,95","2.733,25","2.735,91","2.731,11","","-0,01%"
"03.09.2021","2.733,24","2.745,39","2.749,14","2.732,59","","-0,44%"
"02.09.2021","2.745,42","2.750,74","2.753,72","2.739,61","","-0,19%"
"01.09.2021","2.750,74","2.749,84","2.757,34","2.740,63","","0,03%"
"31.08.2021","2.749,84","2.741,20","2.750,96","2.741,20","","0,32%"
"30.08.2021","2.741,19","2.731,21","2.742,82","2.730,99","","0,37%"
"27.08.2021","2.731,21","2.723,55","2.732,56","2.723,55","","0,28%"
"26.08.2021","2.723,55","2.721,03","2.728,90","2.720,85","","0,10%"
"25.08.2021","2.720,95","2.720,62","2.729,67","2.719,04","","0,01%"
"24.08.2021","2.720,60","2.719,43","2.730,40","2.719,25","","0,04%"
"23.08.2021","2.719,43","2.705,32","2.722,34","2.705,32","","0,52%"
"20.08.2021","2.705,34","2.690,67","2.705,78","2.690,26","","0,55%"
"19.08.2021","2.690,63","2.703,40","2.703,40","2.688,30","","-0,47%"
"18.08.2021","2.703,40","2.708,29","2.715,86","2.703,18","","-0,18%"
"17.08.2021","2.708,30","2.725,08","2.733,28","2.704,51","","-0,62%"
"16.08.2021","2.725,10","2.741,11","2.744,90","2.724,42","","-0,58%"
"13.08.2021","2.741,11","2.722,32","2.742,99","2.722,32","","0,69%"
"12.08.2021","2.722,32","2.739,90","2.740,63","2.721,58","","-0,64%"
"11.08.2021","2.739,91","2.755,60","2.761,72","2.738,71","","-0,57%"
"10.08.2021","2.755,49","2.769,52","2.774,65","2.755,49","","-0,51%"
"09.08.2021","2.769,53","2.778,46","2.781,11","2.765,99","","-0,32%"
"06.08.2021","2.778,56","2.781,01","2.786,76","2.778,36","","-0,09%"
"05.08.2021","2.781,02","2.792,55","2.796,71","2.781,02","","-0,42%"
"04.08.2021","2.792,66","2.800,61","2.807,95","2.792,40","","-0,28%"
"03.08.2021","2.800,61","2.812,84","2.817,24","2.800,61","","-0,43%"
"02.08.2021","2.812,66","2.824,18","2.830,74","2.812,66","","-0,41%"
"30.07.2021","2.824,12","2.819,28","2.824,90","2.819,28","","0,18%"
"29.07.2021","2.818,91","2.816,83","2.822,67","2.816,83","","0,07%"
"28.07.2021","2.816,91","2.817,52","2.823,84","2.815,24","","-0,02%"
"27.07.2021","2.817,51","2.825,50","2.830,79","2.816,63","","-0,28%"
"26.07.2021","2.825,37","2.828,23","2.836,86","2.825,37","","-0,10%"
"23.07.2021","2.828,23","2.834,31","2.840,96","2.828,22","","-0,21%"
"22.07.2021","2.834,13","2.837,73","2.842,76","2.831,73","","-0,13%"
"21.07.2021","2.837,73","2.839,64","2.845,65","2.836,00","","-0,07%"
"20.07.2021","2.839,66","2.836,20","2.843,32","2.836,20","","0,12%"
"19.07.2021","2.836,18","2.841,20","2.848,00","2.836,11","","-0,18%"
"16.07.2021","2.841,35","2.838,74","2.846,10","2.838,74","","0,09%"
"15.07.2021","2.838,73","2.830,77","2.843,75","2.830,77","","0,28%"
"14.07.2021","2.830,85","2.823,81","2.834,26","2.823,81","","0,25%"
"13.07.2021","2.823,81","2.797,86","2.825,46","2.797,86","","0,93%"
"12.07.2021","2.797,90","2.762,04","2.797,90","2.762,04","","1,30%"
"08.07.2021","2.762,03","2.762,35","2.765,63","2.756,14","","-0,01%"
"07.07.2021","2.762,35","2.761,48","2.768,44","2.761,48","","0,03%"
"06.07.2021","2.761,49","2.755,60","2.765,31","2.755,60","","0,21%"
"05.07.2021","2.755,59","2.760,17","2.765,16","2.753,07","","-0,17%"
"02.07.2021","2.760,17","2.754,18","2.764,36","2.754,18","","0,22%"
"01.07.2021","2.754,03","2.755,04","2.766,45","2.750,85","","-0,03%"
"30.06.2021","2.754,89","2.746,45","2.761,47","2.746,45","","0,32%"
"29.06.2021","2.746,10","2.705,86","2.746,13","2.705,86","","1,49%"
"28.06.2021","2.705,84","2.725,08","2.725,08","2.644,25","","-0,71%"
"25.06.2021","2.725,08","2.781,28","2.788,40","2.691,53","","-2,02%"
"24.06.2021","2.781,25","2.780,49","2.791,73","2.779,12","","0,03%"
"23.06.2021","2.780,49","2.797,72","2.802,50","2.780,49","","-0,61%"
"22.06.2021","2.797,57","2.811,15","2.814,55","2.797,27","","-0,48%"
